Batterimodell,Cykelmärke,Voltage ,Original capacitet,Capacity,Is moped?,Price,Badge,Capacity,Blank,Price,Badge,Capacity,Blank,Price,Badge,OBS Note,Photolink,Productlink,Description,Charger,Note,Discount,Discount reason
Batavus 36 V,Batavus,36,10,10,,3 950 kr,FALSE,14 Ah,1,4 750 kr,FALSE,17.5 Ah,,5 450 kr,FALSE,Vid reparation behöver detta batteri en ny laddare. Det ingår en ny laddar i priset.,"photos/batterier/batavus_defualt.webp, photos/batterier/batavus_port.webp, photos/batterier/batavus_undersida.webp",batavus-36,Förkommer på många cyklar från Batavus.,Ny laddare ingår,Vid reparation behöver detta batteri en ny laddare. Det ingår en ny laddar i priset.,3 450 kr,Sommarkampanj
Biltema Ares 36 V ,Yosemite,36,10,10,,3 500 kr,FALSE,14 Ah,1,4 300 kr,FALSE,,,,,"Batteriindikatorn på batteriet kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod. |Strömbrytaren på batteriet kan inte anslutas efter reparationen. Kontrollera att din cykel har en strömbrytare på styret, har den inte det kan vi installera en strömbrytare på batteriet.","photos/batterier/hefei_24V_och_biltema_36V_(alla samma).webp, photos/batterier/biltema_36_front.webp, photos/batterier/biltema_36_port.webp, photos/batterier/biltema_36_back.webp",biltema-36,"Biltema 36V, förekommer främst på Biltemas cykelmärke Yosemite men även på andra cyklar.",,"Batteriindikatorn på batteriet kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod. |Strömbrytaren på batteriet kan inte anslutas efter reparationen. Kontrollera att din cykel har en strömbrytare på styret, har den inte det kan vi installera en strömbrytare på batteriet.",3 000 kr,Sommarkampanj
EGoing Phylion SF-03 36 V,"Crescent, Monark, Sjösala, Marvil, Stålhästen",36,10,10,,3 950 kr,FALSE,14 Ah,1,4 750 kr,FALSE,17.5 Ah,,5 450 kr,FALSE,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.","photos/batterier/sf03_default.webp, photos/batterier/sf03_front.webp, photos/batterier/sf03_port.webp",sf03,"Mycket vanligt förekommande batteri, på bland annat cyklar från Crescent, Monark, Sjösala, Marvil, Stålhästen m.fl.",Ny laddare ingår,"Om batteriet har ""Smart BMS (märkt med ett runt klistermärke) fungerar det bara ibland efter reparation. |Har batteriet inte Smart BMS reparerar vi det som vanligt. |Om batteriet har Smart BMS måste du först testa att cykeln fungerar med ett reparerat batteri via följande bytesprocess: |1. Du får ett färdigreparerat batteri av oss för att testa i din cykel. |2. Om det fungerar behåller du det och lämnar ditt gamla batteri i utbyte.|3. Om det inte fungerar lämnar du tillbaka batteriet och betalar ingenting. |Originalladdaren och batteriets LED-indikator slutar att fungera efter reparationen. |Ny laddare ingår i priset. |Batteristatus kontrolleras istället på cykelns display under körning eller på den nya laddarens diod under laddning.",3 450 kr,Sommarkampanj
Hefei GTL H3C 24 V,"LifeBike, Marvil, Sjösala",24,10,10,,3 000 kr,FALSE,14 Ah,1,3 500 kr,FALSE,17.5 Ah,,4 000 kr,FALSE,"Batteriindikatorn på batteriet kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod. |Strömbrytaren på batteriet kan inte anslutas efter reparationen. Kontrollera att din cykel har en strömbrytare på styret, har den inte det kan vi installera en strömbrytare på batteriet.","photos/batterier/hefei_24V_och_biltema_36V_(alla samma).webp, photos/batterier/biltema_36_front.webp, photos/batterier/biltema_36_port.webp, photos/batterier/biltema_36_back.webp",hefei-gtl-h3c,"Förekommer främst på cyklar från LifeBike, Marvil och Sjösala.",,"Batteriindikatorn på batteriet kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod. |Strömbrytaren på batteriet kan inte anslutas efter reparationen. Kontrollera att din cykel har en strömbrytare på styret, har den inte det kan vi installera en strömbrytare på batteriet.",2 500 kr,Sommarkampanj
Biltema 24 V ,Yosemite,24,10,10,,3 000 kr,FALSE,15 Ah,2,3 500 kr,FALSE,20 Ah,,4 000 kr,FALSE,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/biltema_24.webp,biltema-24,"Biltema 24V, förekommer på Biltemas cykelmärke Yosemite.",,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,2 500 kr,Sommarkampanj
DT12 36 V,Crescent,36,10,10,,3 950 kr,FALSE,15 Ah,2,4 750 kr,FALSE,,,,,Vid reparation behöver detta batteri en ny laddare. Det ingår en ny laddar i priset. | Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/dt12.webp,crescent-dt12,Förkommer på många cyklar från Crescent.,,Vid reparation behöver detta batteri en ny laddare. Det ingår en ny laddar i priset. | Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 450 kr,Sommarkampanj
Ecoride 36 V,Ecoride,36,10,10,,3 500 kr,FALSE,15 Ah,2,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,photos/batterier/ecoride_new.webp,ecoride-new,"Ecoride nyare modell, förekommer vanligtvis på cyklar från 2016 och frammåt. Batteriet finns i två varianter:| Med ""3 pin-laddare"" och med rund laddare.",,Batteriindikatorn kan inte anslutas efter reparationen. Kontrollera istället batteristatusen på cykelns display eller på laddarens diod.,3 000 kr,Sommarkampanj
Ecoride äldre 36 V,Ecoride,36,10,10,,3 500 kr,FALSE,15 Ah,2,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/ecoride_old.webp,ecoride-old,"Ecoride äldre modell, förekommer främst på cyklar tillverkade mellan 2009 och 2016.",,,3 000 kr,Sommarkampanj
Promovec 36 V,"Christiania, Winther, Merida",36,10,10,,3 950 kr,FALSE,14 Ah,2,4 750 kr,FALSE,,,,,Har din laddare 4 st stift kan du att behöva köpa till en ny laddare (+450kr). Har din laddare 3 stift behöver du inte oroa dig. lDu måste lämna in laddare och nyckel till tändningslåset vid reparation.,photos/batterier/promovec.webp,promovec,"Promovec batteri, förkommer främst på cyklar från Christiania, Winther och Merida.","Om laddaren har 4 stift kan den behöva bytas ut, se flik tillägg och reparationer ",Har din laddare 4 st stift kan du att behöva köpa till en ny laddare (+450kr). Har din laddare 3 stift behöver du inte oroa dig. lDu måste lämna in laddare och nyckel till tändningslåset vid reparation.,,
Slim/E-series 36 V,Batavus,36,10,10,,3 950 kr,FALSE,14 Ah,2,4 750 kr,FALSE,,,,,Vid reparation behöver denna modell en ny laddare. Detta ingår i priset.,photos/batterier/batavius_slim.webp,batavus-slim,Förekommer på Batavus cyklar.,Ny laddare,Vid reparation behöver denna modell en ny laddare. Detta ingår i priset.,3 450 kr,Sommarkampanj
EGoing Phlion SR20 36 V,Crescent,36,11.6,11.6,,5 000 kr,FALSE,14 Ah,2,5 800 kr,FALSE,,,,,"För att reparation ska vara möjlig måste cykelns motor gå igång. |Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",photos/batterier/sr20.webp,sr20,,,"För att reparation ska vara möjlig måste cykelns motor gå igång. |Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",4 500 kr,Sommarkampanj
Bosch PowerPack (Pakethållare) 36 V,"Batavus, Gazelle, Crescent, Trek",36,11.6,11.6,,5 000 kr,FALSE,14 Ah,3,5 800 kr,FALSE,,,,,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",photos/batterier/bosch_powerpack_2.webp,powerpack-pakethall,"Bosch batteri som är vanligt förkommande bland olika cykelmärken såsom Batavus, Gazelle, Crescent, Trek.",,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",,
